Training: 2023-02-21 10:38:06,776-rank_id: 0
Training: 2023-02-21 10:50:43,659-Speed 1586.39 samples/sec   Loss 66.7940   LearningRate 0.000061   Epoch: 0   Global Step: 260   Fp16 Grad Scale: 131072   Required: 36 hours
Training: 2023-02-21 10:51:09,933-Speed 1559.00 samples/sec   Loss 67.2562   LearningRate 0.000063   Epoch: 0   Global Step: 270   Fp16 Grad Scale: 131072   Required: 36 hours
Training: 2023-02-21 10:51:36,170-Speed 1561.21 samples/sec   Loss 66.8055   LearningRate 0.000065   Epoch: 0   Global Step: 280   Fp16 Grad Scale: 65536   Required: 36 hours
Training: 2023-02-21 10:52:02,023-Speed 1584.40 samples/sec   Loss 66.9016   LearningRate 0.000068   Epoch: 0   Global Step: 290   Fp16 Grad Scale: 65536   Required: 36 hours
Training: 2023-02-21 10:52:27,970-Speed 1578.61 samples/sec   Loss 67.2324   LearningRate 0.000070   Epoch: 0   Global Step: 300   Fp16 Grad Scale: 65536   Required: 36 hours
Training: 2023-02-21 10:52:53,943-Speed 1577.08 samples/sec   Loss 67.3270   LearningRate 0.000072   Epoch: 0   Global Step: 310   Fp16 Grad Scale: 65536   Required: 36 hours
Training: 2023-02-21 10:53:19,853-Speed 1580.92 samples/sec   Loss 67.2029   LearningRate 0.000075   Epoch: 0   Global Step: 320   Fp16 Grad Scale: 65536   Required: 36 hours
Training: 2023-02-21 10:53:45,901-Speed 1572.52 samples/sec   Loss 67.3412   LearningRate 0.000077   Epoch: 0   Global Step: 330   Fp16 Grad Scale: 65536   Required: 36 hours
Training: 2023-02-21 10:54:12,604-Speed 1533.98 samples/sec   Loss 65.9952   LearningRate 0.000080   Epoch: 0   Global Step: 340   Fp16 Grad Scale: 65536   Required: 36 hours
Training: 2023-02-21 10:54:38,748-Speed 1566.72 samples/sec   Loss 66.6422   LearningRate 0.000082   Epoch: 0   Global Step: 350   Fp16 Grad Scale: 65536   Required: 36 hours
Training: 2023-02-21 10:55:04,644-Speed 1581.76 samples/sec   Loss 65.9875   LearningRate 0.000084   Epoch: 0   Global Step: 360   Fp16 Grad Scale: 65536   Required: 36 hours
Training: 2023-02-21 10:55:30,553-Speed 1580.96 samples/sec   Loss 66.9584   LearningRate 0.000087   Epoch: 0   Global Step: 370   Fp16 Grad Scale: 65536   Required: 36 hours
Training: 2023-02-21 10:55:56,444-Speed 1582.10 samples/sec   Loss 66.1064   LearningRate 0.000089   Epoch: 0   Global Step: 380   Fp16 Grad Scale: 131072   Required: 36 hours
Training: 2023-02-21 10:56:22,573-Speed 1567.62 samples/sec   Loss 65.9848   LearningRate 0.000091   Epoch: 0   Global Step: 390   Fp16 Grad Scale: 131072   Required: 36 hours
Training: 2023-02-21 10:56:48,751-Speed 1564.75 samples/sec   Loss 65.8726   LearningRate 0.000094   Epoch: 0   Global Step: 400   Fp16 Grad Scale: 131072   Required: 36 hours
Training: 2023-02-21 10:57:14,678-Speed 1579.85 samples/sec   Loss 66.7843   LearningRate 0.000096   Epoch: 0   Global Step: 410   Fp16 Grad Scale: 131072   Required: 36 hours
Training: 2023-02-21 10:57:40,535-Speed 1584.12 samples/sec   Loss 66.6674   LearningRate 0.000098   Epoch: 0   Global Step: 420   Fp16 Grad Scale: 131072   Required: 36 hours
Training: 2023-02-21 10:58:06,461-Speed 1579.95 samples/sec   Loss 66.3813   LearningRate 0.000101   Epoch: 0   Global Step: 430   Fp16 Grad Scale: 131072   Required: 36 hours
Training: 2023-02-21 10:58:32,799-Speed 1555.23 samples/sec   Loss 66.6195   LearningRate 0.000103   Epoch: 0   Global Step: 440   Fp16 Grad Scale: 131072   Required: 36 hours
Training: 2023-02-21 10:58:58,711-Speed 1580.75 samples/sec   Loss 66.0908   LearningRate 0.000105   Epoch: 0   Global Step: 450   Fp16 Grad Scale: 131072   Required: 36 hours
Training: 2023-02-21 10:59:24,800-Speed 1570.08 samples/sec   Loss 66.8047   LearningRate 0.000108   Epoch: 0   Global Step: 460   Fp16 Grad Scale: 131072   Required: 36 hours
Training: 2023-02-21 10:59:50,916-Speed 1568.45 samples/sec   Loss 67.1442   LearningRate 0.000110   Epoch: 0   Global Step: 470   Fp16 Grad Scale: 131072   Required: 36 hours
Training: 2023-02-21 11:00:17,629-Speed 1533.37 samples/sec   Loss 66.3010   LearningRate 0.000112   Epoch: 0   Global Step: 480   Fp16 Grad Scale: 262144   Required: 36 hours
Training: 2023-02-21 11:00:43,613-Speed 1576.38 samples/sec   Loss 66.4658   LearningRate 0.000115   Epoch: 0   Global Step: 490   Fp16 Grad Scale: 262144   Required: 36 hours
Training: 2023-02-21 11:01:09,589-Speed 1576.90 samples/sec   Loss 67.1470   LearningRate 0.000117   Epoch: 0   Global Step: 500   Fp16 Grad Scale: 262144   Required: 36 hours
Training: 2023-02-21 11:01:35,505-Speed 1580.57 samples/sec   Loss 67.0335   LearningRate 0.000119   Epoch: 0   Global Step: 510   Fp16 Grad Scale: 262144   Required: 36 hours
Training: 2023-02-21 11:02:01,363-Speed 1584.03 samples/sec   Loss 67.5762   LearningRate 0.000122   Epoch: 0   Global Step: 520   Fp16 Grad Scale: 262144   Required: 36 hours
Training: 2023-02-21 11:02:27,238-Speed 1583.08 samples/sec   Loss 67.3970   LearningRate 0.000124   Epoch: 0   Global Step: 530   Fp16 Grad Scale: 262144   Required: 36 hours
Training: 2023-02-21 11:02:53,097-Speed 1584.00 samples/sec   Loss 67.6962   LearningRate 0.000126   Epoch: 0   Global Step: 540   Fp16 Grad Scale: 262144   Required: 36 hours
Training: 2023-02-21 11:03:18,969-Speed 1583.21 samples/sec   Loss 67.0113   LearningRate 0.000129   Epoch: 0   Global Step: 550   Fp16 Grad Scale: 262144   Required: 36 hours
Training: 2023-02-21 11:03:44,838-Speed 1583.44 samples/sec   Loss 67.2301   LearningRate 0.000131   Epoch: 0   Global Step: 560   Fp16 Grad Scale: 262144   Required: 36 hours
Training: 2023-02-21 11:04:10,718-Speed 1582.71 samples/sec   Loss 67.3540   LearningRate 0.000133   Epoch: 0   Global Step: 570   Fp16 Grad Scale: 262144   Required: 36 hours
Training: 2023-02-21 11:04:36,596-Speed 1582.82 samples/sec   Loss 67.0345   LearningRate 0.000136   Epoch: 0   Global Step: 580   Fp16 Grad Scale: 524288   Required: 36 hours
Training: 2023-02-21 11:05:02,454-Speed 1584.13 samples/sec   Loss 66.9931   LearningRate 0.000138   Epoch: 0   Global Step: 590   Fp16 Grad Scale: 524288   Required: 36 hours
Training: 2023-02-21 11:05:28,391-Speed 1579.23 samples/sec   Loss 66.7560   LearningRate 0.000141   Epoch: 0   Global Step: 600   Fp16 Grad Scale: 524288   Required: 36 hours
Training: 2023-02-21 11:05:55,310-Speed 1521.67 samples/sec   Loss 66.7477   LearningRate 0.000143   Epoch: 0   Global Step: 610   Fp16 Grad Scale: 524288   Required: 36 hours
Training: 2023-02-21 11:06:22,044-Speed 1532.17 samples/sec   Loss 66.5368   LearningRate 0.000145   Epoch: 0   Global Step: 620   Fp16 Grad Scale: 524288   Required: 36 hours
Training: 2023-02-21 11:06:48,127-Speed 1570.37 samples/sec   Loss 66.4261   LearningRate 0.000148   Epoch: 0   Global Step: 630   Fp16 Grad Scale: 524288   Required: 36 hours
Training: 2023-02-21 11:07:14,547-Speed 1550.42 samples/sec   Loss 66.0055   LearningRate 0.000150   Epoch: 0   Global Step: 640   Fp16 Grad Scale: 524288   Required: 36 hours
Training: 2023-02-21 11:07:40,429-Speed 1582.64 samples/sec   Loss 65.6751   LearningRate 0.000152   Epoch: 0   Global Step: 650   Fp16 Grad Scale: 524288   Required: 36 hours
Training: 2023-02-21 11:08:06,338-Speed 1580.97 samples/sec   Loss 65.5574   LearningRate 0.000155   Epoch: 0   Global Step: 660   Fp16 Grad Scale: 524288   Required: 36 hours
Training: 2023-02-21 11:08:32,671-Speed 1555.50 samples/sec   Loss 65.4943   LearningRate 0.000157   Epoch: 0   Global Step: 670   Fp16 Grad Scale: 524288   Required: 36 hours
Training: 2023-02-21 11:08:58,625-Speed 1578.19 samples/sec   Loss 65.3447   LearningRate 0.000159   Epoch: 0   Global Step: 680   Fp16 Grad Scale: 1048576   Required: 36 hours
Training: 2023-02-21 11:09:24,872-Speed 1560.63 samples/sec   Loss 65.1799   LearningRate 0.000162   Epoch: 0   Global Step: 690   Fp16 Grad Scale: 1048576   Required: 36 hours
Training: 2023-02-21 11:09:50,852-Speed 1576.63 samples/sec   Loss 64.6599   LearningRate 0.000164   Epoch: 0   Global Step: 700   Fp16 Grad Scale: 1048576   Required: 36 hours
Training: 2023-02-21 11:10:16,730-Speed 1582.86 samples/sec   Loss 64.4730   LearningRate 0.000166   Epoch: 0   Global Step: 710   Fp16 Grad Scale: 1048576   Required: 36 hours
Training: 2023-02-21 11:10:42,730-Speed 1575.45 samples/sec   Loss 64.4629   LearningRate 0.000169   Epoch: 0   Global Step: 720   Fp16 Grad Scale: 1048576   Required: 36 hours
Training: 2023-02-21 11:11:08,873-Speed 1566.77 samples/sec   Loss 64.1897   LearningRate 0.000171   Epoch: 0   Global Step: 730   Fp16 Grad Scale: 524288   Required: 36 hours
Training: 2023-02-21 11:11:34,857-Speed 1576.39 samples/sec   Loss 64.0065   LearningRate 0.000173   Epoch: 0   Global Step: 740   Fp16 Grad Scale: 524288   Required: 36 hours
Training: 2023-02-21 11:12:00,852-Speed 1575.73 samples/sec   Loss 63.8558   LearningRate 0.000176   Epoch: 0   Global Step: 750   Fp16 Grad Scale: 524288   Required: 36 hours
Training: 2023-02-21 11:12:27,047-Speed 1563.69 samples/sec   Loss 63.7061   LearningRate 0.000178   Epoch: 0   Global Step: 760   Fp16 Grad Scale: 524288   Required: 36 hours
Training: 2023-02-21 11:12:53,051-Speed 1575.20 samples/sec   Loss 63.5639   LearningRate 0.000180   Epoch: 0   Global Step: 770   Fp16 Grad Scale: 524288   Required: 36 hours
Training: 2023-02-21 11:13:19,564-Speed 1544.98 samples/sec   Loss 63.1616   LearningRate 0.000183   Epoch: 0   Global Step: 780   Fp16 Grad Scale: 262144   Required: 36 hours
Training: 2023-02-21 11:13:45,761-Speed 1563.55 samples/sec   Loss 62.9626   LearningRate 0.000185   Epoch: 0   Global Step: 790   Fp16 Grad Scale: 262144   Required: 36 hours
Training: 2023-02-21 11:14:11,944-Speed 1564.42 samples/sec   Loss 62.7983   LearningRate 0.000187   Epoch: 0   Global Step: 800   Fp16 Grad Scale: 262144   Required: 36 hours
Training: 2023-02-21 11:14:38,601-Speed 1536.63 samples/sec   Loss 62.5539   LearningRate 0.000190   Epoch: 0   Global Step: 810   Fp16 Grad Scale: 262144   Required: 36 hours
Training: 2023-02-21 11:15:04,923-Speed 1556.16 samples/sec   Loss 62.3547   LearningRate 0.000192   Epoch: 0   Global Step: 820   Fp16 Grad Scale: 262144   Required: 36 hours
Training: 2023-02-21 11:15:31,046-Speed 1567.98 samples/sec   Loss 62.2491   LearningRate 0.000194   Epoch: 0   Global Step: 830   Fp16 Grad Scale: 262144   Required: 36 hours
Training: 2023-02-21 11:15:57,354-Speed 1557.01 samples/sec   Loss 62.1633   LearningRate 0.000197   Epoch: 0   Global Step: 840   Fp16 Grad Scale: 262144   Required: 36 hours
Training: 2023-02-21 11:16:23,549-Speed 1563.66 samples/sec   Loss 62.1337   LearningRate 0.000199   Epoch: 0   Global Step: 850   Fp16 Grad Scale: 262144   Required: 36 hours
Training: 2023-02-21 11:16:49,737-Speed 1564.13 samples/sec   Loss 61.7160   LearningRate 0.000202   Epoch: 0   Global Step: 860   Fp16 Grad Scale: 262144   Required: 36 hours
Training: 2023-02-21 11:17:15,852-Speed 1568.49 samples/sec   Loss 61.4066   LearningRate 0.000204   Epoch: 0   Global Step: 870   Fp16 Grad Scale: 262144   Required: 36 hours
Training: 2023-02-21 11:17:41,844-Speed 1575.88 samples/sec   Loss 61.1520   LearningRate 0.000206   Epoch: 0   Global Step: 880   Fp16 Grad Scale: 524288   Required: 36 hours
Training: 2023-02-21 11:18:08,212-Speed 1553.47 samples/sec   Loss 60.9296   LearningRate 0.000209   Epoch: 0   Global Step: 890   Fp16 Grad Scale: 524288   Required: 35 hours
Training: 2023-02-21 11:18:34,570-Speed 1554.02 samples/sec   Loss 60.7455   LearningRate 0.000211   Epoch: 0   Global Step: 900   Fp16 Grad Scale: 262144   Required: 36 hours
Training: 2023-02-21 11:19:00,797-Speed 1561.80 samples/sec   Loss 60.6198   LearningRate 0.000213   Epoch: 0   Global Step: 910   Fp16 Grad Scale: 262144   Required: 35 hours
Training: 2023-02-21 11:19:27,171-Speed 1553.10 samples/sec   Loss 60.3334   LearningRate 0.000216   Epoch: 0   Global Step: 920   Fp16 Grad Scale: 262144   Required: 35 hours
Training: 2023-02-21 11:19:53,305-Speed 1567.33 samples/sec   Loss 60.0514   LearningRate 0.000218   Epoch: 0   Global Step: 930   Fp16 Grad Scale: 262144   Required: 35 hours
Training: 2023-02-21 11:20:19,358-Speed 1572.24 samples/sec   Loss 59.6487   LearningRate 0.000220   Epoch: 0   Global Step: 940   Fp16 Grad Scale: 262144   Required: 35 hours
Training: 2023-02-21 11:20:45,303-Speed 1578.74 samples/sec   Loss 59.5464   LearningRate 0.000223   Epoch: 0   Global Step: 950   Fp16 Grad Scale: 262144   Required: 35 hours
Training: 2023-02-21 11:21:11,440-Speed 1567.22 samples/sec   Loss 59.1802   LearningRate 0.000225   Epoch: 0   Global Step: 960   Fp16 Grad Scale: 262144   Required: 35 hours
Training: 2023-02-21 11:21:37,471-Speed 1573.56 samples/sec   Loss 58.9041   LearningRate 0.000227   Epoch: 0   Global Step: 970   Fp16 Grad Scale: 262144   Required: 35 hours
Training: 2023-02-21 11:22:03,456-Speed 1576.29 samples/sec   Loss 58.6828   LearningRate 0.000230   Epoch: 0   Global Step: 980   Fp16 Grad Scale: 262144   Required: 35 hours
Training: 2023-02-21 11:22:29,599-Speed 1566.80 samples/sec   Loss 58.4209   LearningRate 0.000232   Epoch: 0   Global Step: 990   Fp16 Grad Scale: 262144   Required: 35 hours
Training: 2023-02-21 11:22:55,559-Speed 1577.89 samples/sec   Loss 58.1680   LearningRate 0.000234   Epoch: 0   Global Step: 1000   Fp16 Grad Scale: 262144   Required: 35 hours
Training: 2023-02-21 11:23:21,953-Speed 1551.93 samples/sec   Loss 57.8646   LearningRate 0.000237   Epoch: 0   Global Step: 1010   Fp16 Grad Scale: 262144   Required: 35 hours
Training: 2023-02-21 11:23:47,870-Speed 1580.43 samples/sec   Loss 57.6022   LearningRate 0.000239   Epoch: 0   Global Step: 1020   Fp16 Grad Scale: 262144   Required: 35 hours
Training: 2023-02-21 11:24:14,006-Speed 1567.23 samples/sec   Loss 57.2266   LearningRate 0.000241   Epoch: 0   Global Step: 1030   Fp16 Grad Scale: 262144   Required: 35 hours
Training: 2023-02-21 11:24:40,000-Speed 1575.84 samples/sec   Loss 56.9089   LearningRate 0.000244   Epoch: 0   Global Step: 1040   Fp16 Grad Scale: 262144   Required: 35 hours
Training: 2023-02-21 11:25:06,136-Speed 1567.21 samples/sec   Loss 56.7927   LearningRate 0.000246   Epoch: 0   Global Step: 1050   Fp16 Grad Scale: 262144   Required: 35 hours
Training: 2023-02-21 11:25:32,189-Speed 1572.25 samples/sec   Loss 56.3270   LearningRate 0.000248   Epoch: 0   Global Step: 1060   Fp16 Grad Scale: 262144   Required: 35 hours
Training: 2023-02-21 11:25:58,236-Speed 1572.53 samples/sec   Loss 56.0621   LearningRate 0.000251   Epoch: 0   Global Step: 1070   Fp16 Grad Scale: 262144   Required: 35 hours
Training: 2023-02-21 11:26:24,826-Speed 1540.48 samples/sec   Loss 55.7231   LearningRate 0.000253   Epoch: 0   Global Step: 1080   Fp16 Grad Scale: 262144   Required: 35 hours
Training: 2023-02-21 11:26:50,864-Speed 1573.17 samples/sec   Loss 55.4672   LearningRate 0.000255   Epoch: 0   Global Step: 1090   Fp16 Grad Scale: 262144   Required: 35 hours
Training: 2023-02-21 11:27:16,898-Speed 1573.32 samples/sec   Loss 55.0770   LearningRate 0.000258   Epoch: 0   Global Step: 1100   Fp16 Grad Scale: 524288   Required: 35 hours
Training: 2023-02-21 11:27:43,004-Speed 1569.06 samples/sec   Loss 54.7993   LearningRate 0.000260   Epoch: 0   Global Step: 1110   Fp16 Grad Scale: 524288   Required: 35 hours
Training: 2023-02-21 11:28:09,394-Speed 1552.14 samples/sec   Loss 54.4289   LearningRate 0.000262   Epoch: 0   Global Step: 1120   Fp16 Grad Scale: 262144   Required: 35 hours
Training: 2023-02-21 11:28:35,591-Speed 1563.55 samples/sec   Loss 54.2092   LearningRate 0.000265   Epoch: 0   Global Step: 1130   Fp16 Grad Scale: 262144   Required: 35 hours
Training: 2023-02-21 11:29:01,754-Speed 1565.61 samples/sec   Loss 53.8212   LearningRate 0.000267   Epoch: 0   Global Step: 1140   Fp16 Grad Scale: 262144   Required: 35 hours
Training: 2023-02-21 11:29:27,932-Speed 1564.73 samples/sec   Loss 53.5627   LearningRate 0.000270   Epoch: 0   Global Step: 1150   Fp16 Grad Scale: 262144   Required: 35 hours
Training: 2023-02-21 11:29:54,154-Speed 1562.08 samples/sec   Loss 53.1391   LearningRate 0.000272   Epoch: 0   Global Step: 1160   Fp16 Grad Scale: 262144   Required: 35 hours
Training: 2023-02-21 11:30:20,063-Speed 1580.95 samples/sec   Loss 52.7479   LearningRate 0.000274   Epoch: 0   Global Step: 1170   Fp16 Grad Scale: 262144   Required: 35 hours
Training: 2023-02-21 11:30:45,978-Speed 1580.60 samples/sec   Loss 52.4873   LearningRate 0.000277   Epoch: 0   Global Step: 1180   Fp16 Grad Scale: 262144   Required: 35 hours
Training: 2023-02-21 11:31:12,001-Speed 1574.05 samples/sec   Loss 52.1865   LearningRate 0.000279   Epoch: 0   Global Step: 1190   Fp16 Grad Scale: 262144   Required: 35 hours
Training: 2023-02-21 11:31:37,883-Speed 1582.60 samples/sec   Loss 51.7103   LearningRate 0.000281   Epoch: 0   Global Step: 1200   Fp16 Grad Scale: 262144   Required: 35 hours
Training: 2023-02-21 11:32:03,849-Speed 1577.53 samples/sec   Loss 51.3540   LearningRate 0.000284   Epoch: 0   Global Step: 1210   Fp16 Grad Scale: 262144   Required: 35 hours
Training: 2023-02-21 11:32:29,836-Speed 1576.18 samples/sec   Loss 51.1160   LearningRate 0.000286   Epoch: 0   Global Step: 1220   Fp16 Grad Scale: 524288   Required: 35 hours
Training: 2023-02-21 11:32:55,797-Speed 1577.78 samples/sec   Loss 50.7850   LearningRate 0.000288   Epoch: 0   Global Step: 1230   Fp16 Grad Scale: 262144   Required: 35 hours
Training: 2023-02-21 11:33:21,802-Speed 1575.16 samples/sec   Loss 50.4142   LearningRate 0.000291   Epoch: 0   Global Step: 1240   Fp16 Grad Scale: 262144   Required: 35 hours
Training: 2023-02-21 11:33:47,782-Speed 1576.60 samples/sec   Loss 50.1043   LearningRate 0.000293   Epoch: 0   Global Step: 1250   Fp16 Grad Scale: 262144   Required: 35 hours
Training: 2023-02-21 11:34:13,711-Speed 1579.75 samples/sec   Loss 49.7321   LearningRate 0.000295   Epoch: 0   Global Step: 1260   Fp16 Grad Scale: 262144   Required: 35 hours
Training: 2023-02-21 11:34:39,749-Speed 1573.13 samples/sec   Loss 49.4161   LearningRate 0.000298   Epoch: 0   Global Step: 1270   Fp16 Grad Scale: 262144   Required: 35 hours
Training: 2023-02-21 11:35:05,690-Speed 1579.01 samples/sec   Loss 48.9560   LearningRate 0.000300   Epoch: 0   Global Step: 1280   Fp16 Grad Scale: 262144   Required: 35 hours
Training: 2023-02-21 11:35:31,851-Speed 1565.78 samples/sec   Loss 48.6546   LearningRate 0.000302   Epoch: 0   Global Step: 1290   Fp16 Grad Scale: 262144   Required: 35 hours
Training: 2023-02-21 11:35:57,932-Speed 1570.55 samples/sec   Loss 48.2849   LearningRate 0.000305   Epoch: 0   Global Step: 1300   Fp16 Grad Scale: 262144   Required: 35 hours
Training: 2023-02-21 11:36:24,031-Speed 1569.42 samples/sec   Loss 47.9419   LearningRate 0.000307   Epoch: 0   Global Step: 1310   Fp16 Grad Scale: 262144   Required: 35 hours
Training: 2023-02-21 11:36:50,276-Speed 1560.69 samples/sec   Loss 47.6684   LearningRate 0.000309   Epoch: 0   Global Step: 1320   Fp16 Grad Scale: 262144   Required: 35 hours
Training: 2023-02-21 11:37:16,362-Speed 1570.28 samples/sec   Loss 47.2134   LearningRate 0.000312   Epoch: 0   Global Step: 1330   Fp16 Grad Scale: 262144   Required: 35 hours
Training: 2023-02-21 11:37:42,282-Speed 1580.28 samples/sec   Loss 46.9206   LearningRate 0.000314   Epoch: 0   Global Step: 1340   Fp16 Grad Scale: 262144   Required: 35 hours
Training: 2023-02-21 11:38:08,432-Speed 1566.38 samples/sec   Loss 46.5245   LearningRate 0.000316   Epoch: 0   Global Step: 1350   Fp16 Grad Scale: 262144   Required: 35 hours
Training: 2023-02-21 11:38:35,108-Speed 1535.49 samples/sec   Loss 46.3033   LearningRate 0.000319   Epoch: 0   Global Step: 1360   Fp16 Grad Scale: 262144   Required: 35 hours
Training: 2023-02-21 11:39:01,857-Speed 1531.34 samples/sec   Loss 45.9261   LearningRate 0.000321   Epoch: 0   Global Step: 1370   Fp16 Grad Scale: 262144   Required: 35 hours
Training: 2023-02-21 11:39:27,968-Speed 1568.74 samples/sec   Loss 45.4122   LearningRate 0.000323   Epoch: 0   Global Step: 1380   Fp16 Grad Scale: 131072   Required: 35 hours
