Training: 2023-02-22 23:23:06,186-rank_id: 0
Training: 2023-02-22 23:35:02,791-Speed 1095.58 samples/sec   Loss 75.7414   LearningRate 0.000040   Epoch: 0   Global Step: 170   Fp16 Grad Scale: 131072   Required: 52 hours
Training: 2023-02-22 23:35:40,487-Speed 1086.61 samples/sec   Loss 75.4475   LearningRate 0.000042   Epoch: 0   Global Step: 180   Fp16 Grad Scale: 131072   Required: 52 hours
Training: 2023-02-22 23:36:17,967-Speed 1092.87 samples/sec   Loss 76.6595   LearningRate 0.000044   Epoch: 0   Global Step: 190   Fp16 Grad Scale: 131072   Required: 52 hours
Training: 2023-02-22 23:36:55,663-Speed 1086.61 samples/sec   Loss 77.3253   LearningRate 0.000047   Epoch: 0   Global Step: 200   Fp16 Grad Scale: 262144   Required: 52 hours
Training: 2023-02-22 23:37:33,200-Speed 1091.22 samples/sec   Loss 76.8256   LearningRate 0.000049   Epoch: 0   Global Step: 210   Fp16 Grad Scale: 262144   Required: 52 hours
Training: 2023-02-22 23:38:10,948-Speed 1085.11 samples/sec   Loss 78.0619   LearningRate 0.000051   Epoch: 0   Global Step: 220   Fp16 Grad Scale: 131072   Required: 52 hours
Training: 2023-02-22 23:38:48,418-Speed 1093.16 samples/sec   Loss 78.3728   LearningRate 0.000054   Epoch: 0   Global Step: 230   Fp16 Grad Scale: 131072   Required: 52 hours
Training: 2023-02-22 23:39:26,126-Speed 1086.25 samples/sec   Loss 77.0478   LearningRate 0.000056   Epoch: 0   Global Step: 240   Fp16 Grad Scale: 131072   Required: 52 hours
Training: 2023-02-22 23:40:03,467-Speed 1096.96 samples/sec   Loss 77.0524   LearningRate 0.000058   Epoch: 0   Global Step: 250   Fp16 Grad Scale: 65536   Required: 52 hours
Training: 2023-02-22 23:40:41,268-Speed 1083.60 samples/sec   Loss 77.3112   LearningRate 0.000061   Epoch: 0   Global Step: 260   Fp16 Grad Scale: 65536   Required: 52 hours
Training: 2023-02-22 23:41:18,660-Speed 1095.42 samples/sec   Loss 76.8818   LearningRate 0.000063   Epoch: 0   Global Step: 270   Fp16 Grad Scale: 65536   Required: 52 hours
Training: 2023-02-22 23:41:56,190-Speed 1091.44 samples/sec   Loss 76.1862   LearningRate 0.000065   Epoch: 0   Global Step: 280   Fp16 Grad Scale: 65536   Required: 52 hours
Training: 2023-02-22 23:42:33,702-Speed 1091.93 samples/sec   Loss 77.1529   LearningRate 0.000068   Epoch: 0   Global Step: 290   Fp16 Grad Scale: 65536   Required: 52 hours
Training: 2023-02-22 23:43:11,136-Speed 1094.21 samples/sec   Loss 76.0275   LearningRate 0.000070   Epoch: 0   Global Step: 300   Fp16 Grad Scale: 65536   Required: 52 hours
Training: 2023-02-22 23:43:48,623-Speed 1092.68 samples/sec   Loss 76.8382   LearningRate 0.000072   Epoch: 0   Global Step: 310   Fp16 Grad Scale: 65536   Required: 52 hours
Training: 2023-02-22 23:44:26,480-Speed 1081.99 samples/sec   Loss 76.8070   LearningRate 0.000075   Epoch: 0   Global Step: 320   Fp16 Grad Scale: 65536   Required: 52 hours
Training: 2023-02-22 23:45:03,991-Speed 1091.97 samples/sec   Loss 75.1986   LearningRate 0.000077   Epoch: 0   Global Step: 330   Fp16 Grad Scale: 65536   Required: 52 hours
Training: 2023-02-22 23:45:41,988-Speed 1078.01 samples/sec   Loss 76.7556   LearningRate 0.000080   Epoch: 0   Global Step: 340   Fp16 Grad Scale: 65536   Required: 52 hours
Training: 2023-02-22 23:46:19,447-Speed 1093.47 samples/sec   Loss 76.7667   LearningRate 0.000082   Epoch: 0   Global Step: 350   Fp16 Grad Scale: 131072   Required: 52 hours
Training: 2023-02-22 23:46:56,670-Speed 1100.43 samples/sec   Loss 75.3673   LearningRate 0.000084   Epoch: 0   Global Step: 360   Fp16 Grad Scale: 131072   Required: 52 hours
Training: 2023-02-22 23:47:34,161-Speed 1092.55 samples/sec   Loss 75.5637   LearningRate 0.000087   Epoch: 0   Global Step: 370   Fp16 Grad Scale: 131072   Required: 52 hours
Training: 2023-02-22 23:48:11,526-Speed 1096.21 samples/sec   Loss 74.9801   LearningRate 0.000089   Epoch: 0   Global Step: 380   Fp16 Grad Scale: 131072   Required: 52 hours
Training: 2023-02-22 23:48:48,950-Speed 1094.53 samples/sec   Loss 75.0927   LearningRate 0.000091   Epoch: 0   Global Step: 390   Fp16 Grad Scale: 131072   Required: 52 hours
Training: 2023-02-22 23:49:26,215-Speed 1099.17 samples/sec   Loss 74.9689   LearningRate 0.000094   Epoch: 0   Global Step: 400   Fp16 Grad Scale: 131072   Required: 52 hours
Training: 2023-02-22 23:50:03,461-Speed 1099.74 samples/sec   Loss 74.7049   LearningRate 0.000096   Epoch: 0   Global Step: 410   Fp16 Grad Scale: 131072   Required: 52 hours
Training: 2023-02-22 23:50:40,677-Speed 1100.62 samples/sec   Loss 74.4603   LearningRate 0.000098   Epoch: 0   Global Step: 420   Fp16 Grad Scale: 131072   Required: 52 hours
Training: 2023-02-22 23:51:18,652-Speed 1078.63 samples/sec   Loss 74.0343   LearningRate 0.000101   Epoch: 0   Global Step: 430   Fp16 Grad Scale: 65536   Required: 52 hours
Training: 2023-02-22 23:51:56,282-Speed 1088.50 samples/sec   Loss 75.2062   LearningRate 0.000103   Epoch: 0   Global Step: 440   Fp16 Grad Scale: 65536   Required: 52 hours
Training: 2023-02-22 23:52:33,654-Speed 1096.01 samples/sec   Loss 75.3047   LearningRate 0.000105   Epoch: 0   Global Step: 450   Fp16 Grad Scale: 65536   Required: 52 hours
Training: 2023-02-22 23:53:11,427-Speed 1084.40 samples/sec   Loss 74.8372   LearningRate 0.000108   Epoch: 0   Global Step: 460   Fp16 Grad Scale: 65536   Required: 52 hours
Training: 2023-02-22 23:53:48,758-Speed 1097.23 samples/sec   Loss 74.8693   LearningRate 0.000110   Epoch: 0   Global Step: 470   Fp16 Grad Scale: 65536   Required: 52 hours
Training: 2023-02-22 23:54:26,048-Speed 1098.44 samples/sec   Loss 74.6468   LearningRate 0.000112   Epoch: 0   Global Step: 480   Fp16 Grad Scale: 65536   Required: 51 hours
Training: 2023-02-22 23:55:03,404-Speed 1096.49 samples/sec   Loss 73.6192   LearningRate 0.000115   Epoch: 0   Global Step: 490   Fp16 Grad Scale: 65536   Required: 51 hours
Training: 2023-02-22 23:55:40,619-Speed 1100.65 samples/sec   Loss 74.1207   LearningRate 0.000117   Epoch: 0   Global Step: 500   Fp16 Grad Scale: 65536   Required: 51 hours
Training: 2023-02-22 23:56:17,916-Speed 1098.26 samples/sec   Loss 73.8759   LearningRate 0.000119   Epoch: 0   Global Step: 510   Fp16 Grad Scale: 65536   Required: 51 hours
Training: 2023-02-22 23:56:55,251-Speed 1097.11 samples/sec   Loss 74.2932   LearningRate 0.000122   Epoch: 0   Global Step: 520   Fp16 Grad Scale: 65536   Required: 51 hours
Training: 2023-02-22 23:57:32,482-Speed 1100.16 samples/sec   Loss 73.4000   LearningRate 0.000124   Epoch: 0   Global Step: 530   Fp16 Grad Scale: 131072   Required: 51 hours
Training: 2023-02-22 23:58:09,881-Speed 1095.26 samples/sec   Loss 74.3743   LearningRate 0.000126   Epoch: 0   Global Step: 540   Fp16 Grad Scale: 131072   Required: 51 hours
Training: 2023-02-22 23:58:47,456-Speed 1090.09 samples/sec   Loss 73.7374   LearningRate 0.000129   Epoch: 0   Global Step: 550   Fp16 Grad Scale: 131072   Required: 51 hours
Training: 2023-02-22 23:59:25,069-Speed 1089.02 samples/sec   Loss 73.9989   LearningRate 0.000131   Epoch: 0   Global Step: 560   Fp16 Grad Scale: 131072   Required: 51 hours
Training: 2023-02-23 00:00:03,052-Speed 1078.40 samples/sec   Loss 74.1312   LearningRate 0.000133   Epoch: 0   Global Step: 570   Fp16 Grad Scale: 131072   Required: 51 hours
Training: 2023-02-23 00:00:41,096-Speed 1076.66 samples/sec   Loss 74.5034   LearningRate 0.000136   Epoch: 0   Global Step: 580   Fp16 Grad Scale: 131072   Required: 51 hours
Training: 2023-02-23 00:01:18,569-Speed 1093.06 samples/sec   Loss 74.2569   LearningRate 0.000138   Epoch: 0   Global Step: 590   Fp16 Grad Scale: 131072   Required: 51 hours
Training: 2023-02-23 00:01:56,587-Speed 1077.41 samples/sec   Loss 73.8537   LearningRate 0.000141   Epoch: 0   Global Step: 600   Fp16 Grad Scale: 131072   Required: 51 hours
Training: 2023-02-23 00:02:34,523-Speed 1079.74 samples/sec   Loss 74.1994   LearningRate 0.000143   Epoch: 0   Global Step: 610   Fp16 Grad Scale: 131072   Required: 51 hours
Training: 2023-02-23 00:03:12,145-Speed 1088.75 samples/sec   Loss 73.9814   LearningRate 0.000145   Epoch: 0   Global Step: 620   Fp16 Grad Scale: 131072   Required: 51 hours
Training: 2023-02-23 00:03:49,636-Speed 1092.55 samples/sec   Loss 73.8132   LearningRate 0.000148   Epoch: 0   Global Step: 630   Fp16 Grad Scale: 262144   Required: 51 hours
Training: 2023-02-23 00:04:26,988-Speed 1096.61 samples/sec   Loss 73.7563   LearningRate 0.000150   Epoch: 0   Global Step: 640   Fp16 Grad Scale: 262144   Required: 51 hours
Training: 2023-02-23 00:05:04,655-Speed 1087.45 samples/sec   Loss 73.2523   LearningRate 0.000152   Epoch: 0   Global Step: 650   Fp16 Grad Scale: 262144   Required: 51 hours
Training: 2023-02-23 00:05:42,510-Speed 1082.04 samples/sec   Loss 73.4215   LearningRate 0.000155   Epoch: 0   Global Step: 660   Fp16 Grad Scale: 262144   Required: 51 hours
Training: 2023-02-23 00:06:20,478-Speed 1078.82 samples/sec   Loss 73.1814   LearningRate 0.000157   Epoch: 0   Global Step: 670   Fp16 Grad Scale: 262144   Required: 51 hours
Training: 2023-02-23 00:06:57,877-Speed 1095.23 samples/sec   Loss 72.8925   LearningRate 0.000159   Epoch: 0   Global Step: 680   Fp16 Grad Scale: 262144   Required: 51 hours
Training: 2023-02-23 00:07:35,274-Speed 1095.32 samples/sec   Loss 72.7520   LearningRate 0.000162   Epoch: 0   Global Step: 690   Fp16 Grad Scale: 262144   Required: 51 hours
Training: 2023-02-23 00:08:12,518-Speed 1099.79 samples/sec   Loss 72.4989   LearningRate 0.000164   Epoch: 0   Global Step: 700   Fp16 Grad Scale: 262144   Required: 51 hours
Training: 2023-02-23 00:08:50,133-Speed 1088.95 samples/sec   Loss 72.4117   LearningRate 0.000166   Epoch: 0   Global Step: 710   Fp16 Grad Scale: 262144   Required: 51 hours
Training: 2023-02-23 00:09:27,678-Speed 1090.98 samples/sec   Loss 72.3737   LearningRate 0.000169   Epoch: 0   Global Step: 720   Fp16 Grad Scale: 262144   Required: 51 hours
Training: 2023-02-23 00:10:05,097-Speed 1094.67 samples/sec   Loss 71.9436   LearningRate 0.000171   Epoch: 0   Global Step: 730   Fp16 Grad Scale: 524288   Required: 51 hours
Training: 2023-02-23 00:10:42,415-Speed 1097.61 samples/sec   Loss 71.8761   LearningRate 0.000173   Epoch: 0   Global Step: 740   Fp16 Grad Scale: 524288   Required: 51 hours
Training: 2023-02-23 00:11:20,020-Speed 1089.24 samples/sec   Loss 71.8417   LearningRate 0.000176   Epoch: 0   Global Step: 750   Fp16 Grad Scale: 524288   Required: 51 hours
Training: 2023-02-23 00:11:57,548-Speed 1091.47 samples/sec   Loss 71.4741   LearningRate 0.000178   Epoch: 0   Global Step: 760   Fp16 Grad Scale: 524288   Required: 51 hours
Training: 2023-02-23 00:12:34,991-Speed 1093.94 samples/sec   Loss 71.2303   LearningRate 0.000180   Epoch: 0   Global Step: 770   Fp16 Grad Scale: 524288   Required: 51 hours
Training: 2023-02-23 00:13:12,542-Speed 1090.83 samples/sec   Loss 71.1486   LearningRate 0.000183   Epoch: 0   Global Step: 780   Fp16 Grad Scale: 524288   Required: 51 hours
Training: 2023-02-23 00:13:50,202-Speed 1087.63 samples/sec   Loss 70.6628   LearningRate 0.000185   Epoch: 0   Global Step: 790   Fp16 Grad Scale: 524288   Required: 51 hours
Training: 2023-02-23 00:14:27,772-Speed 1090.27 samples/sec   Loss 70.4510   LearningRate 0.000187   Epoch: 0   Global Step: 800   Fp16 Grad Scale: 262144   Required: 51 hours
Training: 2023-02-23 00:15:05,400-Speed 1088.56 samples/sec   Loss 70.1356   LearningRate 0.000190   Epoch: 0   Global Step: 810   Fp16 Grad Scale: 262144   Required: 51 hours
Training: 2023-02-23 00:15:43,084-Speed 1086.98 samples/sec   Loss 69.9777   LearningRate 0.000192   Epoch: 0   Global Step: 820   Fp16 Grad Scale: 262144   Required: 51 hours
Training: 2023-02-23 00:16:20,750-Speed 1087.47 samples/sec   Loss 69.6853   LearningRate 0.000194   Epoch: 0   Global Step: 830   Fp16 Grad Scale: 262144   Required: 51 hours
Training: 2023-02-23 00:16:58,105-Speed 1096.55 samples/sec   Loss 69.4677   LearningRate 0.000197   Epoch: 0   Global Step: 840   Fp16 Grad Scale: 262144   Required: 51 hours
Training: 2023-02-23 00:17:35,508-Speed 1095.10 samples/sec   Loss 69.3309   LearningRate 0.000199   Epoch: 0   Global Step: 850   Fp16 Grad Scale: 262144   Required: 51 hours
Training: 2023-02-23 00:18:13,197-Speed 1086.84 samples/sec   Loss 68.9354   LearningRate 0.000202   Epoch: 0   Global Step: 860   Fp16 Grad Scale: 262144   Required: 51 hours
Training: 2023-02-23 00:18:50,710-Speed 1091.91 samples/sec   Loss 68.7671   LearningRate 0.000204   Epoch: 0   Global Step: 870   Fp16 Grad Scale: 262144   Required: 51 hours
Training: 2023-02-23 00:19:28,252-Speed 1091.07 samples/sec   Loss 68.6089   LearningRate 0.000206   Epoch: 0   Global Step: 880   Fp16 Grad Scale: 262144   Required: 51 hours
Training: 2023-02-23 00:20:05,843-Speed 1089.65 samples/sec   Loss 68.2937   LearningRate 0.000209   Epoch: 0   Global Step: 890   Fp16 Grad Scale: 131072   Required: 51 hours
Training: 2023-02-23 00:20:43,714-Speed 1081.58 samples/sec   Loss 67.9451   LearningRate 0.000211   Epoch: 0   Global Step: 900   Fp16 Grad Scale: 131072   Required: 51 hours
Training: 2023-02-23 00:21:21,652-Speed 1079.66 samples/sec   Loss 67.8768   LearningRate 0.000213   Epoch: 0   Global Step: 910   Fp16 Grad Scale: 65536   Required: 51 hours
Training: 2023-02-23 00:21:59,194-Speed 1091.08 samples/sec   Loss 67.7138   LearningRate 0.000216   Epoch: 0   Global Step: 920   Fp16 Grad Scale: 65536   Required: 51 hours
Training: 2023-02-23 00:22:37,113-Speed 1080.21 samples/sec   Loss 67.3799   LearningRate 0.000218   Epoch: 0   Global Step: 930   Fp16 Grad Scale: 65536   Required: 51 hours
Training: 2023-02-23 00:23:14,476-Speed 1096.30 samples/sec   Loss 67.0608   LearningRate 0.000220   Epoch: 0   Global Step: 940   Fp16 Grad Scale: 65536   Required: 51 hours
Training: 2023-02-23 00:23:51,945-Speed 1093.20 samples/sec   Loss 66.8535   LearningRate 0.000223   Epoch: 0   Global Step: 950   Fp16 Grad Scale: 65536   Required: 51 hours
Training: 2023-02-23 00:24:29,132-Speed 1101.46 samples/sec   Loss 66.6161   LearningRate 0.000225   Epoch: 0   Global Step: 960   Fp16 Grad Scale: 65536   Required: 51 hours
Training: 2023-02-23 00:25:06,526-Speed 1095.39 samples/sec   Loss 66.3292   LearningRate 0.000227   Epoch: 0   Global Step: 970   Fp16 Grad Scale: 65536   Required: 51 hours
Training: 2023-02-23 00:25:43,990-Speed 1093.35 samples/sec   Loss 66.1927   LearningRate 0.000230   Epoch: 0   Global Step: 980   Fp16 Grad Scale: 65536   Required: 51 hours
Training: 2023-02-23 00:26:21,693-Speed 1086.39 samples/sec   Loss 65.8957   LearningRate 0.000232   Epoch: 0   Global Step: 990   Fp16 Grad Scale: 65536   Required: 51 hours
Training: 2023-02-23 00:26:59,648-Speed 1079.21 samples/sec   Loss 65.5568   LearningRate 0.000234   Epoch: 0   Global Step: 1000   Fp16 Grad Scale: 65536   Required: 51 hours
Training: 2023-02-23 00:27:37,053-Speed 1095.07 samples/sec   Loss 65.3832   LearningRate 0.000237   Epoch: 0   Global Step: 1010   Fp16 Grad Scale: 131072   Required: 51 hours
Training: 2023-02-23 00:28:14,309-Speed 1099.43 samples/sec   Loss 65.1214   LearningRate 0.000239   Epoch: 0   Global Step: 1020   Fp16 Grad Scale: 131072   Required: 51 hours
Training: 2023-02-23 00:28:51,941-Speed 1088.44 samples/sec   Loss 64.7770   LearningRate 0.000241   Epoch: 0   Global Step: 1030   Fp16 Grad Scale: 131072   Required: 51 hours
Training: 2023-02-23 00:29:29,191-Speed 1099.63 samples/sec   Loss 64.6318   LearningRate 0.000244   Epoch: 0   Global Step: 1040   Fp16 Grad Scale: 65536   Required: 51 hours
Training: 2023-02-23 00:30:06,527-Speed 1097.10 samples/sec   Loss 64.4475   LearningRate 0.000246   Epoch: 0   Global Step: 1050   Fp16 Grad Scale: 65536   Required: 51 hours
Training: 2023-02-23 00:30:43,990-Speed 1093.36 samples/sec   Loss 63.8151   LearningRate 0.000248   Epoch: 0   Global Step: 1060   Fp16 Grad Scale: 65536   Required: 51 hours
Training: 2023-02-23 00:31:22,030-Speed 1076.78 samples/sec   Loss 63.6623   LearningRate 0.000251   Epoch: 0   Global Step: 1070   Fp16 Grad Scale: 65536   Required: 51 hours
Training: 2023-02-23 00:31:59,613-Speed 1089.87 samples/sec   Loss 63.4688   LearningRate 0.000253   Epoch: 0   Global Step: 1080   Fp16 Grad Scale: 65536   Required: 51 hours
Training: 2023-02-23 00:32:37,339-Speed 1085.74 samples/sec   Loss 63.2045   LearningRate 0.000255   Epoch: 0   Global Step: 1090   Fp16 Grad Scale: 65536   Required: 51 hours
Training: 2023-02-23 00:33:15,003-Speed 1087.53 samples/sec   Loss 62.8769   LearningRate 0.000258   Epoch: 0   Global Step: 1100   Fp16 Grad Scale: 65536   Required: 51 hours
Training: 2023-02-23 00:33:53,213-Speed 1071.99 samples/sec   Loss 62.6727   LearningRate 0.000260   Epoch: 0   Global Step: 1110   Fp16 Grad Scale: 65536   Required: 51 hours
Training: 2023-02-23 00:34:31,371-Speed 1073.45 samples/sec   Loss 62.3170   LearningRate 0.000262   Epoch: 0   Global Step: 1120   Fp16 Grad Scale: 65536   Required: 51 hours
Training: 2023-02-23 00:35:08,949-Speed 1090.04 samples/sec   Loss 62.0958   LearningRate 0.000265   Epoch: 0   Global Step: 1130   Fp16 Grad Scale: 65536   Required: 51 hours
Training: 2023-02-23 00:35:46,285-Speed 1097.09 samples/sec   Loss 61.8228   LearningRate 0.000267   Epoch: 0   Global Step: 1140   Fp16 Grad Scale: 131072   Required: 51 hours
Training: 2023-02-23 00:36:23,675-Speed 1095.49 samples/sec   Loss 61.6006   LearningRate 0.000270   Epoch: 0   Global Step: 1150   Fp16 Grad Scale: 131072   Required: 51 hours
Training: 2023-02-23 00:37:00,996-Speed 1097.53 samples/sec   Loss 61.1720   LearningRate 0.000272   Epoch: 0   Global Step: 1160   Fp16 Grad Scale: 131072   Required: 51 hours
Training: 2023-02-23 00:37:38,617-Speed 1088.79 samples/sec   Loss 60.8313   LearningRate 0.000274   Epoch: 0   Global Step: 1170   Fp16 Grad Scale: 131072   Required: 51 hours
Training: 2023-02-23 00:38:16,238-Speed 1088.76 samples/sec   Loss 60.5885   LearningRate 0.000277   Epoch: 0   Global Step: 1180   Fp16 Grad Scale: 131072   Required: 51 hours
Training: 2023-02-23 00:38:53,556-Speed 1097.62 samples/sec   Loss 60.2548   LearningRate 0.000279   Epoch: 0   Global Step: 1190   Fp16 Grad Scale: 131072   Required: 51 hours
Training: 2023-02-23 00:39:31,176-Speed 1088.80 samples/sec   Loss 59.9079   LearningRate 0.000281   Epoch: 0   Global Step: 1200   Fp16 Grad Scale: 131072   Required: 51 hours
Training: 2023-02-23 00:40:08,773-Speed 1089.47 samples/sec   Loss 59.6954   LearningRate 0.000284   Epoch: 0   Global Step: 1210   Fp16 Grad Scale: 131072   Required: 51 hours
Training: 2023-02-23 00:40:46,292-Speed 1091.74 samples/sec   Loss 59.3012   LearningRate 0.000286   Epoch: 0   Global Step: 1220   Fp16 Grad Scale: 131072   Required: 51 hours
Training: 2023-02-23 00:41:23,899-Speed 1089.18 samples/sec   Loss 58.9759   LearningRate 0.000288   Epoch: 0   Global Step: 1230   Fp16 Grad Scale: 131072   Required: 51 hours
Training: 2023-02-23 00:42:01,641-Speed 1085.29 samples/sec   Loss 58.7188   LearningRate 0.000291   Epoch: 0   Global Step: 1240   Fp16 Grad Scale: 262144   Required: 51 hours
Training: 2023-02-23 00:42:39,896-Speed 1070.72 samples/sec   Loss 58.5467   LearningRate 0.000293   Epoch: 0   Global Step: 1250   Fp16 Grad Scale: 262144   Required: 51 hours
Training: 2023-02-23 00:43:17,546-Speed 1087.94 samples/sec   Loss 58.1769   LearningRate 0.000295   Epoch: 0   Global Step: 1260   Fp16 Grad Scale: 262144   Required: 51 hours
Training: 2023-02-23 00:43:54,776-Speed 1100.20 samples/sec   Loss 57.8553   LearningRate 0.000298   Epoch: 0   Global Step: 1270   Fp16 Grad Scale: 262144   Required: 51 hours
Training: 2023-02-23 00:44:32,351-Speed 1090.13 samples/sec   Loss 57.5053   LearningRate 0.000300   Epoch: 0   Global Step: 1280   Fp16 Grad Scale: 262144   Required: 51 hours
Training: 2023-02-23 00:45:09,806-Speed 1093.60 samples/sec   Loss 57.2705   LearningRate 0.000302   Epoch: 0   Global Step: 1290   Fp16 Grad Scale: 262144   Required: 51 hours
Training: 2023-02-23 00:45:47,342-Speed 1091.22 samples/sec   Loss 56.8496   LearningRate 0.000305   Epoch: 0   Global Step: 1300   Fp16 Grad Scale: 262144   Required: 51 hours
Training: 2023-02-23 00:46:24,972-Speed 1088.52 samples/sec   Loss 56.6172   LearningRate 0.000307   Epoch: 0   Global Step: 1310   Fp16 Grad Scale: 262144   Required: 51 hours
Training: 2023-02-23 00:47:02,480-Speed 1092.05 samples/sec   Loss 56.2694   LearningRate 0.000309   Epoch: 0   Global Step: 1320   Fp16 Grad Scale: 262144   Required: 51 hours
Training: 2023-02-23 00:47:40,028-Speed 1090.90 samples/sec   Loss 55.8373   LearningRate 0.000312   Epoch: 0   Global Step: 1330   Fp16 Grad Scale: 262144   Required: 51 hours
Training: 2023-02-23 00:48:17,389-Speed 1096.35 samples/sec   Loss 55.5690   LearningRate 0.000314   Epoch: 0   Global Step: 1340   Fp16 Grad Scale: 262144   Required: 51 hours
Training: 2023-02-23 00:48:54,959-Speed 1090.28 samples/sec   Loss 55.2285   LearningRate 0.000316   Epoch: 0   Global Step: 1350   Fp16 Grad Scale: 262144   Required: 51 hours
Training: 2023-02-23 00:49:32,663-Speed 1086.35 samples/sec   Loss 54.9760   LearningRate 0.000319   Epoch: 0   Global Step: 1360   Fp16 Grad Scale: 262144   Required: 51 hours
Training: 2023-02-23 00:50:10,437-Speed 1084.38 samples/sec   Loss 54.6180   LearningRate 0.000321   Epoch: 0   Global Step: 1370   Fp16 Grad Scale: 262144   Required: 51 hours
Training: 2023-02-23 00:50:48,110-Speed 1087.26 samples/sec   Loss 54.2863   LearningRate 0.000323   Epoch: 0   Global Step: 1380   Fp16 Grad Scale: 262144   Required: 50 hours
